id,number,month,initial_amount,price,currency,client_code,authorized_withdrawal_person,document_url,is_archived,validated_at,granted_at,validated_by,granted_by,created_at,updated_at,created_by,updated_by
06c3a096-b0b9-43d4-a6a5-f49b2c53f684,CRT08-084A3-5484/2026,09/2026,10000.00,2000.00,1,CL06-084A3-2473/2026,,,false,,2026-08-27 17:40:24+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-27 17:40:24+00,2026-09-01 14:21:03.762574+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
073dbfa6-bf7d-4654-855c-05f115ad6ef4,CRT06-084A3-7578/2026,06/2026,50000.00,2000.00,1,CL06-084A3-7991/2026,,,false,,2026-06-19 12:56:26+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-06-19 12:56:26+00,2026-09-01 14:20:58.610101+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
0a415b2a-12a6-43d0-9f10-df7f1d5257d6,CRT09-084A3-4082/2026,09/2026,5000.00,2000.00,1,CL07-084A3-9559/2026,,,false,,2026-09-01 13:55:22+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-09-01 13:55:22+00,2026-09-01 14:21:10.453286+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
0bee885a-d4b8-45eb-9cd2-e615437957a2,CL03-09815-2200/2026,03/2026,5000.00,1000.00,1,CL03-09815-2200/2026,,,true,,2026-03-02 18:50:51+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-03-02 18:50:51+00,2026-07-23 12:09:20.732365+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
0ca5f529-ed21-4553-a42f-ea9370a4061b,CRT06-084A3-5902/2026,06/2026,10000.00,2000.00,1,CL06-084A3-4557/2026,,,true,,2026-06-17 13:36:22+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-06-17 13:36:22+00,2026-08-21 08:35:20.736541+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
0cb18f82-ad21-4b34-a935-aff260ef70f7,CL05-08324-5519/2026,05/2026,10000.00,1000.00,1,CL05-08324-5519/2026,,,true,,2026-05-06 19:21:15+00,,1fde6018-9346-424c-a2c1-37b8ea928324,2026-05-06 19:21:15+00,2026-08-21 13:57:51.580927+00,1fde6018-9346-424c-a2c1-37b8ea928324,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
0cc6c26a-fb01-43a7-bc49-21b9008e511c,CL02-09815-5170/2026,02/2026,10000.00,1000.00,1,CL02-09815-5170/2026,,,true,,2026-02-19 10:39:36+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-02-19 10:39:36+00,2026-08-21 14:07:23.189524+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
0e530d8a-1870-4d42-8f4c-0444b3db9382,CRT08-084A3-5258/2026,08/2026,15000.00,2000.00,1,CL07-084A3-5034/2026,,,true,,2026-08-10 14:01:52+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-10 14:01:52+00,2026-08-21 08:35:57.786571+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
0e8db283-4f67-4799-947c-f2e7681ef886,CRT08-09815-3183/2026,08/2026,5000.00,2000.00,1,CL04-09815-8842/2026,,,false,,2026-08-04 08:13:01+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-08-04 08:13:01+00,2026-09-01 08:23:49.280486+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,
0f5772e1-2e71-40e3-b76f-ff12a29732d4,CL03-09815-3956/2026,04/2026,10000.00,1000.00,1,CL03-09815-3956/2026,,,true,,2026-03-30 17:38:37+00,,604e6df1-79e8-4118-a788-bb248eb653db,2026-03-30 17:38:37+00,2026-07-23 12:00:09.627328+00,604e6df1-79e8-4118-a788-bb248eb653db,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
0fcaa06f-c175-450a-b5b5-03da4093b85a,CRT07-09815-1492/2026,08/2026,30000.00,2000.00,1,CL07-09815-3847/2026,,,false,,2026-07-23 16:36:44+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-07-23 16:36:44+00,2026-09-01 08:23:46.201934+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,
1032f982-96ec-401a-a790-65fe616f1b8b,CRT08-09815-5049/2026,08/2026,10000.00,2000.00,1,CL05-09815-2207/2026,,,false,,2026-08-09 18:48:41+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-08-09 18:48:41+00,2026-09-01 08:23:48.432964+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,
1075f0aa-1da2-4651-a787-b94efa5ef698,CRT05-09815-2252/2026,05/2026,10000.00,2000.00,1,CL04-09815-1598/2026,,,false,,2026-05-03 15:37:53+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-03 15:37:53+00,2026-08-22 15:59:32.119046+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
11a5c4a6-6576-449a-b97f-7309e35669d7,CRT06-09815-1021/2026,06/2026,10000.00,2000.00,1,CL06-09815-5952/2026,,,false,,2026-06-08 16:14:02+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-06-08 16:14:02+00,2026-08-22 15:59:36.231606+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,
120854dd-f7dd-4a61-8005-cf66046fbd2c,CL03-09815-5168/2026,03/2026,10000.00,1000.00,1,CL03-09815-5168/2026,,,true,,2026-03-21 16:57:41+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-03-21 16:57:41+00,2026-07-23 11:53:11.956074+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
126c8740-1b91-47aa-9f17-a2d1d88efc37,CL02-09815-1037/2026,02/2026,10000.00,1000.00,1,CL02-09815-1037/2026,,,true,,2026-02-26 15:28:53+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-02-26 15:28:53+00,2026-08-04 08:56:32.272431+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
126f46a8-fce2-4157-b9a9-d7551721ada0,CRT05-09815-8618/2026,05/2026,15000.00,2000.00,1,CL05-09815-8928/2026,,,false,,2026-05-26 12:45:36+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-26 12:45:36+00,2026-08-25 05:44:51.703072+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,
1283e373-9711-47b5-93f3-0b8b1db04881,CRT07-084A3-5143/2026,07/2026,5000.00,2000.00,1,CL06-084A3-8376/2026,,,false,,2026-07-03 14:00:37+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-07-03 14:00:37+00,2026-09-01 14:19:45.019013+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
1496edf3-7f70-4dfb-a48d-2d096c628862,CRT08-084A3-4416/2026,08/2026,10000.00,2000.00,1,CL08-084A3-6830/2026,,,false,,2026-08-03 18:16:32+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-03 18:16:32+00,2026-09-01 14:20:43.97804+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
14e4949d-9a3b-4475-851a-70c7e8525536,CRT08-084A3-3626/2026,08/2026,5000.00,2000.00,1,CL06-084A3-2842/2026,,,false,,2026-08-03 13:42:09+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-08-03 13:42:09+00,2026-09-01 14:20:42.69592+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
1554ae93-0a56-479e-8411-2ea6fc3972a0,CL05-08324-1033/2026,05/2026,5000.00,2000.00,1,CL05-08324-3899/2026,,,true,,2026-05-22 19:23:17+00,,1fde6018-9346-424c-a2c1-37b8ea928324,2026-05-22 19:23:17+00,2026-07-23 12:49:27.505767+00,1fde6018-9346-424c-a2c1-37b8ea928324,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
16acfc1c-1f10-4558-beb7-48012f1faa98,CRT05-09815-4654/2026,05/2026,10000.00,2000.00,1,CL05-09815-2207/2026,,,true,,2026-05-04 20:43:40+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-04 20:43:40+00,2026-08-04 08:36:26.175484+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
16e76dc0-d70b-4a3d-8549-502d1c4104ee,CL04-09815-5982/2026,04/2026,2000.00,1000.00,1,CL04-09815-5982/2026,,,true,,2026-04-13 15:31:32+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-04-13 15:31:32+00,2026-07-11 18:57:24.794962+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
17a85f96-0151-4bff-b60e-304e164ab0b7,CRT09-084A3-7696/2026,09/2026,5000.00,2000.00,1,CL09-084A3-6533/2026,,,false,,2026-09-01 09:41:27+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-09-01 09:41:27+00,2026-09-01 14:21:01.194197+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,
18123396-4ee2-4e57-bafb-b3978f3a09dd,CL04-09815-9645/2026,04/2026,10000.00,1000.00,1,CL04-09815-9645/2026,,,false,,2026-04-01 13:53:10+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-04-01 13:53:10+00,2026-08-22 09:26:45.940774+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
182d8873-6cec-4156-be32-42e3f219f846,CRT07-084A3-1001/2026,07/2026,10000.00,2000.00,1,CL07-084A3-6050/2026,,,false,,2026-07-10 11:51:28+00,,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,2026-07-10 11:51:28+00,2026-09-01 14:20:30.531063+00,e78fa4f8-7406-40fd-ab35-6ef9cd5784a3,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
1860f96c-6f58-475b-b5f2-75087a37d187,CRT05-09815-9165/2026,05/2026,10000.00,2000.00,1,CL05-09815-4727/2026,,,true,,2026-05-15 16:32:11+00,,12852b96-32b2-4d1f-ba5d-16caa50b9815,2026-05-15 16:32:11+00,2026-07-20 20:08:18.151075+00,12852b96-32b2-4d1f-ba5d-16caa50b9815,064d2336-aac8-4c51-8b2a-aa4bfa3ea58b
